Word,Length,Freq_KF,Freq_HAL,SUBTLWF,POS
just,4,872,1020539,4749.14,RB|JJ|NN
justice,7,114,31679,37.45,NN
keep,4,264,183906,702.86,VB|NN
kept,4,186,38548,89.39,VB
keyboard,8,4,35312,1.8,NN|VB
keynote,7,4,1489,0.65,NN|VB|JJ
kind,4,313,131849,590.69,NN
king,4,88,52583,129.25,NN
kitchen,7,90,9720,58.31,NN
kitten,6,5,2238,4.73,NN
knack,5,4,630,2.49,NN
kneel,5,5,733,5.33,VB|NN
knew,4,395,56518,368.96,VB
know,4,683,800100,5721.18,VB|NN
knowledge,9,145,83911,25.53,NN
labor,5,149,18853,12.18,NN|VB
lack,4,110,41016,17.75,NN|VB
lady,4,80,25980,217.08,NN
land,4,217,75075,88.12,NN|VB
language,8,109,97874,35.1,NN
languid,7,4,55,0.2,JJ
lard,4,4,602,1.69,NN
large,5,361,134354,41.45,JJ|RB|NN
last,4,676,291284,723.1,JJ|NN|VB|RB
latch,5,5,1279,1.92,NN
late,4,179,55030,269.73,JJ|RB
later,5,397,108034,291.94,RB|JJ
latitude,8,5,2865,1.59,NN
latter,6,114,17819,1.25,NN
laundry,7,5,2357,19.06,NN
lavender,8,5,594,2.04,JJ|NN
lay,3,139,15006,58.24,VB
lead,4,129,48779,83.25,VB|NN
leadership,10,92,14685,4.88,NN
learn,5,84,71507,118.57,VB
least,5,343,201524,207.76,JJ|RB|NN
leave,5,205,76506,560.71,VB|NN
left,4,480,132017,484.45,VB|NN|JJ
length,6,116,50773,7.02,NN
lethal,6,5,3040,5.67,JJ
letter,6,145,58299,82.61,NN
level,5,213,130029,51.63,NN|VB
liberate,8,4,673,1.16,VB
life,4,715,219561,796.65,NN
lifeboat,8,4,182,1.39,NN
light,5,333,96805,165.2,NN|VB
like,4,1290,1060831,3998.96,minor|VB|NN|JJ
likely,6,151,71675,25.76,JJ|RB
lilac,5,4,251,0.76,JJ
limb,4,5,2127,4.67,NN
limousine,9,4,525,2.82,NN
line,4,298,239804,206.18,NN|VB
lint,4,4,1004,1.33,NN
list,4,133,317096,80.59,NN|VB
literary,8,78,5062,2.55,JJ
literature,10,133,20438,6.39,NN
little,6,831,288496,1446.39,JJ|RB|NN
live,4,177,128442,344.59,VB
local,5,288,139852,41.73,JJ|NN
long,4,755,273917,675.16,JJ|RB|NN|VB
longhorn,8,4,107,0.31,NN
look,4,399,253524,1947.27,VB|NN
looks,5,78,70951,311.49,VB|NN
lord,4,93,38009,138.16,NN|VB
loss,4,86,30002,29.12,NN
lost,4,173,78090,274,VB|JJ|NN
love,4,232,165830,1114.98,NN|VB
lucid,5,4,4178,1.27,JJ
lukewarm,8,5,428,0.47,JJ
lullaby,7,5,260,1.73,NN
lush,4,5,1018,1.18,JJ|NN
lust,4,5,5572,5.57,NN
machine,7,103,121109,70.25,NN|VB
made,4,1125,271084,561.29,VB|NN
maestro,7,4,698,2.98,NN
magician,8,4,1989,7.65,NN
main,4,119,74094,42.73,JJ|NN
major,5,247,100373,104.76,JJ|NN
make,4,794,520909,1387.75,VB|NN
malformed,9,4,252,0.14,JJ
mammoth,7,4,2688,0.78,JJ|NN
manager,7,88,59800,39.96,NN
maneuver,8,5,1634,2.8,NN|VB
maniac,6,4,1337,9.39,NN
manner,6,124,22183,11.53,NN
manor,5,5,1616,3.41,NN
many,4,1030,474923,359.43,JJ|NN|minor
march,5,120,74695,24.02,NN|VB
maritime,8,4,1327,0.73,JJ|NN
mark,4,83,103559,82.02,NN|VB
market,6,155,98850,36.24,NN|VB
marriage,8,95,21299,77.06,NN
marrow,6,5,1039,2.96,NN
marsh,5,4,5131,3.51,NN
mass,4,110,33835,17.25,NN|JJ|VB
material,8,174,59366,22.14,NN|JJ
matter,6,308,110274,370.59,NN|VB
maximum,7,79,22457,7.76,NN
maybe,5,134,166009,926.45,RB|NN
mean,4,199,151693,1243.98,VB|NN
measure,7,91,19777,10.53,NN|VB
mechanic,8,5,2266,5.06,NN|JJ
medical,7,162,53004,54.39,JJ|NN
mediocre,8,5,2673,1.39,JJ
meet,4,148,48215,352.27,VB|NN
melt,4,4,2781,7.31,VB
member,6,137,63948,28.78,NN
menu,4,5,28562,9.96,NN
mesh,4,4,1955,0.69,NN|VB
method,6,142,49828,7.88,NN
methodical,10,4,317,0.51,JJ
midday,6,5,373,0.82,NN|RB|JJ
middle,6,118,45179,89.2,NN|JJ
might,5,672,277738,516.35,VB|NN
milestone,9,4,1075,0.71,NN
military,8,212,47865,41.24,JJ|NN
millennium,10,4,1811,4.29,NN
million,7,204,55862,120.49,minor|NN
mind,4,325,131156,484.61,NN|VB
mindful,7,5,335,0.49,JJ
mink,4,5,582,3.71,NN
mischief,8,5,830,2.1,NN
miss,4,258,30936,467.65,VB|NN
mission,7,78,28847,47.06,NN
mistrust,8,4,485,0.63,VB
misuse,6,5,2026,0.55,NN
moderator,9,4,10993,0.16,NN
modern,6,198,35406,18.24,JJ|NN
modesty,7,4,669,1.76,NN
modular,7,4,2006,0.16,JJ
mole,4,4,1536,8.06,NN
moll,4,5,386,0.39,NN
moment,6,246,43625,187.04,NN
money,5,265,209588,640.76,NN
month,5,130,76300,95.18,NN
monumental,10,5,668,1.06,JJ
moral,5,142,21254,13.51,JJ|NN
more,4,2216,1076711,1298.59,JJ|RB
morning,7,211,36262,439,NN
mosaic,6,4,15261,0.45,NN|JJ
most,4,1160,495365,350.76,RB|JJ
mother,6,216,42113,479.92,NN
mouth,5,103,34157,104.41,NN
move,4,171,80091,418.14,VB|NN
movement,8,128,30554,14.84,NN
much,4,937,483898,973.25,JJ|RB
murky,5,5,548,0.61,JJ
muse,4,4,1301,1.92,VB|NN
music,5,216,134404,151.65,NN
musical,7,85,14696,13.16,JJ|NN
must,4,1013,306094,699.24,VB
mustache,8,5,487,4.94,NN
myself,6,129,92699,342.55,minor|NN
mystical,8,5,2379,2.82,JJ
name,4,294,297695,641.86,NN|VB
nasty,5,5,14007,22.57,JJ|NN
nation,6,139,29567,20.49,NN
national,8,375,114548,38.16,JJ|NN
natural,7,156,45294,42.35,JJ|NN
nature,6,191,51563,45.16,NN
near,4,198,78062,83.1,minor|JJ|VB|RB
necessary,9,222,60899,45.98,JJ|NN
neck,4,81,14841,59.51,NN|VB
need,4,360,415850,1294.9,NN|VB
neither,7,141,37284,67.67,minor|NN
nemesis,7,4,1222,0.88,NN
never,5,698,303028,1362.55,RB|NN
next,4,394,188009,452.75,JJ|NN|RB|minor
night,5,411,97524,866.04,NN
nine,4,81,14715,67.47,minor|NN
none,4,108,90590,110.61,NN
normal,6,136,70982,70.37,JJ|RB
north,5,206,77220,63.88,NN|RB|JJ
nothing,7,412,160745,853.61,NN
nozzle,6,4,648,0.37,NN
nuclear,7,115,19479,18.98,JJ|NN
number,6,472,283001,240.94,NN|VB
obesity,7,5,1029,0.41,NN
objective,9,91,14818,7.04,NN|JJ
obsolete,8,5,4914,1.92,JJ|NN
obstruct,8,4,306,0.59,VB
obvious,7,92,37370,29.57,JJ
offend,6,4,2914,5.22,VB
offer,5,80,98441,74.71,NN|VB
office,6,255,88401,203.9,NN
officer,7,101,18922,103.24,NN
often,5,368,117801,57.35,RB
once,4,499,188862,344.88,RB|NN
onrush,6,4,6,NULL,NN
onslaught,9,4,826,0.33,NN
open,4,319,145040,320.41,JJ|VB|NN|RB
operation,9,113,28468,43.94,NN
opinion,7,96,68760,42,NN
opposite,8,81,16623,15.2,JJ|NN|minor
option,6,5,49982,14.43,NN|VB
order,5,376,193686,156.57,NN|VB
orient,6,4,1331,1.59,NN|JJ
original,8,103,126061,28.24,JJ|NN
ornament,8,4,557,1.14,NN
other,5,1702,897942,735.39,JJ|NN
otherwise,9,86,68136,41.55,RB|JJ|NN
otter,5,5,593,1.35,NN
outfielder,10,4,156,0.1,NN
outgrow,7,4,288,0.41,VB
outrage,7,4,1770,3.14,NN
outrun,6,4,468,1.94,VB
outside,7,210,68404,170.02,minor|NN|JJ|RB
over,4,1236,452595,1323.29,minor|RB|NN
overcoat,8,5,207,1.45,NN
overlap,7,4,2718,0.57,NN
overlook,8,4,1583,2.9,VB
overthrow,9,5,1667,1.35,VB
overture,8,5,744,1.29,NN
owing,5,4,1033,1.24,JJ|RB|NN|VB
pact,4,5,1366,3.76,NN
pagan,5,4,4605,1.35,JJ|NN
pail,4,4,496,0.94,NN
pain,4,88,36596,97.94,NN|VB
panorama,8,4,734,0.14,NN
paper,5,157,64005,103.35,NN|VB
park,4,94,46460,72.12,NN|VB
parody,6,4,3751,0.71,NN
parole,6,5,1236,10.45,NN|VB
part,4,500,249067,261.51,NN|VB
particular,10,179,74278,27.9,JJ|NN|RB
party,5,216,68745,233.14,NN|VB
pass,4,89,48574,108.12,VB|NN
past,4,281,89390,123.76,JJ|NN|RB
pastime,7,4,418,0.8,NN
pastry,6,4,659,1.92,NN
patient,7,86,14671,63.65,JJ
patron,6,4,1673,3.1,NN
pattern,7,113,19583,14.47,NN
pavilion,8,4,672,0.96,NN
peace,5,198,40408,69.61,NN
peck,4,5,1067,3.53,NN|VB
peddler,7,5,101,0.59,NN
pedestal,8,5,626,1.31,NN
people,6,847,768168,1102.98,NN|VB
percussion,10,4,2164,0.57,NN
perhaps,7,307,109435,136.06,RB
period,6,265,53751,27.78,NN
periodical,10,4,942,0.18,NN
person,6,175,167439,212.88,NN
personal,8,196,108044,91.67,JJ|NN
pest,4,4,1075,2.86,NN
philosophy,10,86,19790,8.27,NN
physical,8,138,44223,27.18,JJ|NN
pictorial,9,5,796,0.2,JJ
picture,7,162,46520,138.45,NN|VB
piece,5,129,46129,124.49,NN|VB
pilgrim,7,4,663,3.69,NN
pinpoint,8,5,851,1.8,VB
pirate,6,4,6292,7.35,NN
pitiful,7,4,1505,3.84,JJ
place,5,571,195199,602.67,NN|VB
plan,4,205,63172,145.73,NN|VB
plane,5,114,18677,95.53,NN|VB
plant,5,125,25225,27.61,NN|VB
platinum,8,4,3511,2.41,NN|JJ
plausible,9,4,2796,1.63,JJ
play,4,200,149546,354.53,VB|NN
playground,10,4,1360,5.1,NN
plumber,7,4,402,4.49,NN
plunge,6,5,1425,2.24,NN|VB
poet,4,99,3454,9.22,NN
poetry,6,88,8869,13.37,NN
point,5,395,256288,236.53,NN|VB
police,6,155,48000,236.16,NN|VB
policy,6,222,47846,27.02,NN
political,9,258,68811,21.86,JJ
pool,4,111,16200,46.98,NN|VB
poor,4,113,53482,129.08,JJ
popular,7,98,41161,23.08,JJ|NN
population,10,136,33381,9.1,NN
position,8,241,144944,72.08,NN|VB
possible,8,373,159908,114.04,JJ|RB|NN
post,4,84,275951,32.43,NN|VB|JJ
poster,6,4,24836,5.98,NN
postmaster,10,4,3959,0.33,NN
potter,6,4,1888,20.37,NN
power,5,342,187656,149.02,NN|VB
practice,8,94,44294,45.69,NN|VB
pragmatic,9,4,1181,0.59,JJ
preamble,8,4,1053,0.31,NN|VB
preclude,8,4,1284,0.29,VB
pregnancy,9,4,8664,6.55,NN
prelude,7,5,1405,0.59,NN
premiere,8,5,4070,3.71,NN
prescribe,9,5,1358,1.45,VB
present,7,377,65134,89.45,JJ|NN|RB
president,9,382,74841,140.67,NN
pressure,8,185,28433,53.12,NN|VB
pretense,8,6,693,0.86,NN
pretty,6,107,129994,392.22,RB|JJ
prevalent,9,5,1828,0.31,JJ
prevent,7,83,29122,13.06,VB
previous,8,86,68239,9.49,JJ
price,5,108,153716,53.37,NN|VB
priceless,9,5,916,4.16,JJ
primary,7,96,31286,8.71,JJ
primeval,8,5,271,0.29,JJ
principle,9,109,15244,7.75,NN
private,7,191,58427,75.96,JJ|NN|RB
problem,7,313,314595,330.06,NN
procedure,9,79,23392,16.14,NN
process,7,196,98998,27.98,NN|VB
procession,10,5,462,1.27,NN
proctor,7,4,855,0.55,NN
procure,7,4,561,0.47,VB
prodigious,10,4,183,0.45,JJ
produce,7,82,34576,11.06,VB
product,7,87,102292,14.75,NN
production,10,148,42061,12.65,NN
program,7,394,241495,42.63,NN|VB
progress,8,120,20169,21.25,NN
project,7,93,89569,37.39,NN
prominence,10,5,504,0.31,NN
pronoun,7,4,640,0.24,NN
propel,6,4,466,0.22,VB
proper,6,95,31703,25.27,JJ
property,8,156,33095,33.29,NN
prophet,7,5,5725,5.33,NN
proverb,7,5,1202,1.08,NN
provide,7,216,102813,17.41,VB|NN
providence,10,80,2672,2.65,NN
public,6,438,153537,71.08,JJ|NN|RB
pulp,4,5,4301,1.82,NN|VB
pulpit,6,4,371,0.61,NN
punch,5,5,9481,29.69,NN|VB
pungent,7,4,271,0.39,JJ
purpose,7,149,47091,35.08,NN
quality,7,114,78895,18.57,NN|JJ
quantum,7,5,16245,5.59,NN
question,8,257,184252,198.35,NN|VB
quieter,7,4,934,1.39,JJ
quite,5,281,155011,202.59,RB|JJ
quota,5,4,2987,1.86,NN
quotation,9,4,2534,0.35,NN
race,4,103,46405,61.9,NN|VB
racket,6,5,671,7.43,NN
radial,6,5,977,0.49,JJ|NN
radiation,9,97,7722,8.22,NN
radiator,8,4,1051,2.02,NN
radio,5,120,71946,77.18,NN|VB
raft,4,4,841,4.71,NN
rainbow,7,4,6749,7.98,NN
rampant,7,4,1739,0.96,JJ
range,5,160,58184,22.76,NN|VB
ransom,6,5,825,9.76,NN
rapport,7,4,745,0.63,NN
rate,4,209,87417,24.92,NN|VB
rather,6,373,146049,114.22,RB|minor
rationalism,11,4,220,NULL,NN
rattle,6,5,1234,3.37,NN|VB
reach,5,106,34160,56.92,VB|NN
reaction,8,124,16706,16.27,NN
read,4,173,289582,241.22,VB|NN
ready,5,143,43959,387.8,JJ|VB|RB
real,4,260,197763,442.8,JJ
reality,7,79,42961,30.25,NN
really,6,275,398246,1500.16,RB
realtor,7,5,268,1.8,NN
reason,6,241,133687,193.29,NN|VB
rebuff,6,4,76,0.08,NN|VB
rebuilt,7,4,2510,1.43,VB
receipt,7,4,6255,7.43,NN
recent,6,179,61027,13.12,JJ
recoil,6,5,1127,0.43,VB
reconcile,9,4,1178,1.14,VB
reconsider,10,4,1756,5.02,VB
record,6,137,61996,85.59,NN
rectangular,11,5,1421,0.43,JJ
recurrent,9,4,782,0.25,JJ
redemption,10,4,2620,2.2,NN
redundant,9,4,3338,1.45,JJ|NN
reed,4,5,6652,9.1,NN
refinement,10,5,750,0.53,NN
reflector,9,5,883,0.27,NN
reflex,6,4,1291,2.27,NN
regard,6,89,15551,7.35,NN|VB
regular,7,83,47458,33.86,JJ
rehearsal,9,4,1113,12.45,NN|JJ
reluctance,10,5,956,0.9,NN
remain,6,93,24587,33.22,VB
remember,8,138,142627,542.47,VB
reminiscent,11,4,1378,0.43,NN
repertory,9,5,134,0.31,NN
replenish,9,4,398,0.51,VB
report,6,174,90838,108,NN|VB
repository,10,4,3608,0.25,NN
reproducible,12,5,477,0.04,JJ
repudiation,11,4,144,0.1,NN
repulsive,9,4,748,2.02,JJ
require,7,86,46963,10.63,VB
research,8,171,126031,33.1,NN|VB
resistant,9,5,30959,0.9,JJ
resolute,8,4,165,0.61,JJ
respect,7,125,37713,71.45,NN|VB
rest,4,163,78610,212.96,NN|VB
result,6,244,66995,19.76,NN|VB
retort,6,4,514,0.25,NN|VB
retribution,11,4,1142,1.67,NN
return,6,180,83751,91.69,NN|VB
revise,6,5,2666,0.86,VB
ridicule,8,5,1800,1.96,NN|VB
rifleman,8,4,228,0.53,NN
right,5,613,388384,4008.39,NN|JJ|RB|VB
righteous,9,5,4143,3.92,JJ
ripple,6,5,829,1.51,NN|VB
rise,4,102,14753,27.43,NN|VB
road,4,197,66722,111.94,NN
roadside,8,4,485,1.02,NN
rocker,6,4,1240,1.25,NN
role,4,104,32941,18.22,NN
room,4,383,85138,439.51,NN|VB
rose,4,86,19326,53.02,VB|NN|JJ
round,5,81,47080,66.53,JJ|NN|VB
rover,5,4,1470,3.33,NN
rowdy,5,4,421,1.02,JJ
rubbish,7,4,7126,5.59,NN|VB
runway,6,4,1777,5.47,NN
rustle,6,4,190,1.14,NN|VB
said,4,1961,352357,1108.45,VB
sailor,6,5,6240,12.39,NN
salient,7,4,513,0.25,JJ
saliva,6,4,1137,2.65,NN
salutary,8,5,68,0.04,JJ
salvage,7,5,1877,4.12,NN|VB
same,4,686,401465,417.18,JJ
sandals,7,5,1995,1.73,NN
sandman,7,5,3062,2.43,NN
sanity,6,4,2946,2.73,NN
satin,5,5,1533,2.61,NN
savory,6,4,201,0.22,JJ|NN
scabbard,8,5,108,0.22,NN
scalp,5,4,1315,3.69,NN
scan,4,5,14016,9.41,NN|VB
scant,5,5,591,0.24,JJ
scarf,5,4,826,4.69,NN
scene,5,106,31918,74.65,NN
school,6,492,119951,333.12,NN|VB
science,7,131,99256,37.25,NN
scientific,10,86,32559,11.37,JJ
scoreboard,10,4,371,0.61,NN
scorn,5,4,983,1.16,NN|VB
Scotch,6,5,1422,14.75,NN|VB
scribe,6,4,795,0.25,NN
seashore,8,5,235,0.47,NN
season,6,105,37562,31.47,NN
second,6,373,150377,284.57,JJ|NN|RB|VB
secret,6,78,35327,109.51,JJ|NN
secretary,9,191,14898,33.22,NN
section,7,189,94926,27.33,NN|VB
security,8,91,62549,94.31,NN
seem,4,229,122295,139.82,VB
seen,4,279,160826,384.96,VB
seminar,7,4,5384,4.25,NN
sense,5,311,77530,131.8,NN|VB
separate,8,79,36232,21.71,JJ
serious,7,116,55817,148.35,JJ|NN
serve,5,107,27117,37.94,VB
service,7,315,171115,79.92,NN|VB
session,7,80,27845,13.29,NN
seven,5,113,22750,104.45,minor|NN
several,7,377,170923,38.78,JJ|RB
shabby,6,5,556,1.71,JJ
shall,5,267,60161,185.12,VB
shape,5,85,23161,30.24,NN|VB
share,5,98,57769,69.51,NN|VB
sheath,6,4,892,0.49,NN
sheik,5,4,439,1.51,NN
shine,5,5,3206,20.65,VB|NN
ship,4,83,51299,98.88,NN|VB
shiver,6,4,695,1.53,NN|VB
short,5,212,95521,85.63,JJ|NN|RB|VB
shot,4,112,42214,227.43,NN|VB
should,6,888,594293,1061.94,VB
shovel,6,5,1017,6.84,NN|VB
show,4,287,178842,488.35,VB|NN
showdown,8,4,1104,1.25,NN
shriek,6,5,358,0.63,NN|VB
shrink,6,5,4085,11.31,VB|NN
shudder,7,5,1770,1.12,VB
shutter,7,5,1732,1.45,NN|VB
side,4,380,112408,200.92,NN|VB|JJ
siding,6,5,563,1.33,NN|VB
sight,5,86,14322,45.31,NN|VB
sign,4,94,39389,133.27,NN|VB
silhouette,10,4,2156,0.57,NN
sill,4,4,439,0.45,NN
similar,7,157,103270,13.63,JJ
simmer,6,5,1121,1.71,VB
simple,6,161,84794,89.31,JJ|NN
simulate,8,4,2796,1.16,VB
since,5,628,320454,314.98,minor
sine,4,4,1153,0.18,NN
single,6,172,94811,72.08,JJ|NN|RB|VB
situation,9,196,59523,82.49,NN
size,4,138,107005,46.14,NN|VB
skip,4,5,8818,21.1,VB|NN
skyline,7,5,583,0.67,NN
slob,4,4,379,3.57,NN|VB
sludge,6,4,645,0.47,NN
smack,5,4,2232,9.51,RB
small,5,542,158742,124.96,JJ|NN
smash,5,4,2573,8.25,NN|VB
snatch,6,4,706,3.9,VB
social,6,380,58169,33.39,JJ|NN
society,7,237,78371,32.92,NN
sock,4,4,1146,8.98,NN|VB
solder,6,4,2486,0.04,VB
some,4,1617,1042740,1727.24,minor|NN
someone,7,94,255347,446.12,NN
something,9,450,331899,1500.16,NN
somewhat,8,127,31984,9.1,RB|NN
soon,4,199,90301,257.65,RB
sophomore,9,5,1020,2.86,NN
sort,4,164,78952,148.71,NN|VB
sound,5,204,122381,143.39,NN|VB|JJ
source,6,94,186065,28.18,NN|VB
south,5,240,66282,64.47,NN|RB|JJ
southern,8,137,23994,11.61,JJ|NN
soybean,7,5,309,0.49,NN
space,5,184,113076,66.06,NN|VB
sparkle,7,4,615,1.67,NN|VB
sparse,6,5,1313,0.22,JJ
speak,5,110,53714,187.18,VB|NN
special,7,250,105765,148.57,JJ|NN
specific,8,115,70494,17.8,JJ|NN
speed,5,83,91193,41.25,NN|VB
spent,5,104,33152,70.08,VB|JJ
spice,5,4,2561,5.29,NN|VB
spin,4,5,10683,14.63,VB|NN
spire,5,5,178,0.1,NN
spirit,6,182,40804,49.35,NN
splinter,8,4,548,1.47,NN|VB
spoke,5,87,12637,38.63,VB|NN
spread,6,83,22704,31.29,NN|VB|JJ
spring,6,127,26152,31.31,NN|VB
spruce,6,5,876,1.1,NN|VB
square,6,143,19004,31.76,NN|VB|JJ
squire,6,5,1681,3.08,NN
staccato,8,5,169,0.16,NN
staff,5,113,41035,32,NN|VB
stage,5,174,30645,45.57,NN|VB
stagnant,8,5,493,0.27,JJ
stale,5,4,1399,2.92,JJ
stalwart,8,4,155,0.43,JJ|NN
stampede,8,4,952,1.33,NN|VB
stand,5,148,48716,226.2,VB|NN
standard,8,110,108320,18.43,JJ|NN
starch,6,4,626,1.35,NN|VB
start,5,154,172475,340.1,VB|NN
state,5,808,199232,107.84,NN|VB
statement,9,141,55638,29.24,NN
station,7,105,38106,79.08,NN|VB
status,6,97,44083,14.71,NN
stay,4,113,49009,515.65,VB|NN
stead,5,5,676,1.06,NN
steal,5,5,11268,53.33,VB|NN
stealth,7,5,7315,2.78,NN
step,4,131,43956,118.67,NN|VB
stew,4,5,1556,6.43,NN|VB
still,5,782,363407,788.73,RB|JJ|NN|VB
sting,5,5,2919,7.02,NN|VB
stock,5,147,43376,25.49,NN|VB
stoop,5,4,770,2.45,NN|VB
stop,4,120,96586,707.27,VB|NN
story,5,153,96953,220.78,NN
straight,8,114,42466,122.43,JJ|NN
strange,7,84,32164,86.43,JJ|NN
street,6,244,76139,148.18,NN
strength,8,136,25721,36.92,NN
stress,6,107,12215,15.61,NN|VB
stripe,6,4,1760,1.45,NN
stroll,6,4,562,4.14,NN|VB
strong,6,202,69234,86.86,JJ|RB|NN
structure,9,91,29885,10.18,NN|VB
stucco,6,4,124,0.37,NN|VB
student,7,131,56461,43.04,NN
study,5,246,50899,49.04,NN|VB
stupor,6,4,260,0.37,NN
style,5,98,43235,30.08,NN
subject,7,161,135945,36.96,NN|JJ
subsidize,9,4,1038,0.31,VB
success,7,93,37069,27.25,NN
such,4,1303,371015,291.22,JJ|NN|minor
suck,4,5,13814,34.88,VB|NN
summer,6,134,34481,78.67,NN|JJ
sumptuous,9,4,175,0.31,JJ
sunburn,7,5,361,0.65,NN
sundry,6,5,587,0.25,JJ
supervise,9,5,1463,1.92,VB
supply,6,102,36137,18.67,NN|VB
support,7,180,248197,50.73,NN|VB
suppose,7,97,33112,125.8,VB
sure,4,264,260476,1099.82,JJ|RB|NN
surface,7,200,25649,18.24,NN|VB
surround,8,5,3286,3.06,VB|NN
surveyor,8,5,374,0.25,NN
swamp,5,5,5706,8.98,NN|VB
sway,4,5,1467,2.53,VB|NN
swivel,6,5,506,0.71,JJ|VB
symptom,7,5,2367,1.88,NN
synonymous,10,4,951,0.55,JJ
syrup,5,4,1916,5.1,NN
system,6,416,439448,91.51,NN
table,5,198,56081,105.63,NN|VB
tactic,6,4,3312,1.55,NN
take,4,611,330816,1891.04,VB|NN
talk,4,154,91547,855,VB|NN
tally,5,4,1108,3.49,NN|VB
tame,4,5,1305,2.73,JJ|VB
tang,4,4,2556,2.24,NN
tapestry,8,5,745,0.71,NN
tariff,6,5,1000,0.14,NN
taunt,5,4,803,0.63,NN|VB
tawny,5,4,128,0.65,JJ
teacher,7,80,16947,55.73,NN
team,4,83,108529,147.61,NN|VB
teaspoon,8,4,1546,0.47,NN
technical,9,120,97756,8.24,JJ
teddy,5,4,2632,15.9,NN
teenage,7,4,4035,6.86,JJ
telescope,9,4,3324,2.94,NN
tell,4,268,201112,1724.49,VB|NN
teller,6,4,1272,2.57,NN
template,8,5,6294,0.41,NN|VB
temples,7,4,1794,1.57,NN
temporal,8,5,3170,1.35,JJ|NN
tenable,7,4,114,0.06,JJ
tenacity,8,5,339,0.27,NN
tenant,6,5,744,3.04,NN
tensile,7,5,224,0.12,JJ
term,4,79,58014,17.45,NN|VB
terrific,8,5,3890,41.92,JJ
test,4,119,124267,84.08,NN|VB
textbook,8,4,2603,2.2,NN
than,4,1789,702491,738.8,minor
that,4,10595,5262331,14111.31,minor|NN
their,5,2670,844722,655.16,minor
them,4,1789,801560,1778.82,minor
then,4,1377,705900,1489.53,RB|JJ
theologian,10,5,296,0.27,NN
theory,6,129,48737,28.61,NN
there,5,2724,1313357,4348.12,minor|RB
therefore,9,205,58572,20.75,RB
these,5,1573,591805,904,minor|NN
thin,4,92,14257,20.18,JJ|RB|NN|VB
thing,5,333,243604,1088.67,NN
think,5,433,652944,2691.39,VB|NN
third,5,190,58366,74.53,JJ|NN|RB
thirst,6,4,1026,3.73,NN
this,4,5146,3251989,7978.73,minor|NN
those,5,850,415648,753.02,minor|NN
though,6,442,199366,181.94,minor|RB
thought,7,515,174954,808.47,VB|NN
thousand,8,97,16355,69.29,minor|NN
three,5,610,165169,542.24,minor|NN
thrift,6,5,617,0.43,NN
thrill,6,5,2569,8.41,NN|VB
throne,6,5,5951,8.65,NN
through,7,969,305803,549.53,minor|NN|JJ
throughout,10,141,28623,10.75,minor
thus,4,312,68926,12.31,RB|NN|JJ
tilt,4,5,2136,2.22,NN|VB
time,4,1599,788823,1958.63,NN|VB
timetable,9,4,795,1.61,NN|JJ|VB
timid,5,5,739,1.51,JJ
tireless,8,4,292,0.67,JJ
toad,4,4,1692,5.69,NN
today,5,284,103604,433.8,NN|RB
together,8,267,90238,383.39,RB|NN
told,4,413,104947,699.59,VB
tolerate,8,4,3816,6.94,VB
tomato,6,4,2137,5.9,NN
tone,4,78,14823,16.86,NN|VB
took,4,426,87271,342.24,VB|NN
topical,7,4,1487,0.51,JJ
torment,7,4,2703,2.73,NN
torque,6,5,3248,0.73,NN
torrent,7,4,335,0.41,NN
total,5,211,70437,37.65,JJ|NN|VB
touch,5,87,34803,147.73,NN|VB
toward,6,386,28152,22.92,minor
town,4,212,37149,247.92,NN
trade,5,143,76384,35.2,NN|VB
tradition,9,94,13864,13.67,NN
train,5,82,23376,95.06,NN|VB
trance,6,4,2322,5.25,NN
transcript,10,4,2471,13.82,NN
transverse,10,4,401,0.29,JJ
traverse,8,5,968,0.73,VB
treasure,8,4,4470,19.06,NN
treatment,9,127,25792,19.31,NN
trial,5,134,19700,49.37,NN
triangle,8,4,5436,4.27,NN
tribe,5,4,4484,6.37,NN
tribunal,8,5,2386,1.08,NN|JJ
trilogy,7,4,3639,0.63,NN
trip,4,81,28399,82.39,NN|VB
triple,6,5,6475,9.39,JJ|VB
trouble,7,134,49725,223.55,NN|VB
trout,5,4,1947,4.02,NN
truce,5,5,932,4.31,NN
truth,5,126,52771,192.18,NN
tubular,7,4,558,0.27,JJ
tucker,6,5,3303,7.18,NN
tuition,7,5,3629,4.04,NN
tulip,5,4,450,0.78,NN
tungsten,8,4,367,0.16,NN|JJ
turbulent,9,4,611,0.65,JJ
Turk,4,5,2342,3.02,NN
turn,4,233,89685,306.47,VB|NN
turpentine,10,4,122,0.92,NN
tussle,6,4,92,0.47,NN|VB
tutor,5,4,5385,4.61,NN|VB
twenty,6,80,10756,27.02,minor|NN
twilight,8,4,2616,3.06,NN
twister,7,4,6117,1.55,NN
type,4,200,157464,60.65,NN|VB
ulcer,5,5,398,2.57,NN
umber,5,4,69,0.27,JJ|NN
unafraid,8,4,103,0.51,JJ
unaided,7,4,164,0.08,JJ
unanimous,9,5,914,2.1,JJ
unarmed,7,4,1365,3.86,JJ
unborn,6,4,1415,2.27,JJ
unclean,7,4,601,1.27,JJ
uncover,7,4,941,1.92,VB
undefined,9,4,3621,0.2,JJ
under,5,707,250435,261.92,minor|RB|JJ
underfoot,9,4,197,0.35,RB
